Source_URL,NIL,Dining,Residence,Research,Travel,Alumni
https://ipsciences.edu/,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error
https://manhattan.edu/,Not Found,https://manhattan.edu/campus-life/dining,https://manhattan.edu/campus-life/housing,https://manhattan.edu/admissions/financial-aid/loans-grants/scholarships-and-grants,https://manhattan.edu/academics/resources/study-abroad,https://manhattan.edu/alumni
https://resu.edu/,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error
https://saintjosephabbey.com/,Not Found,Not Found,Not Found,Not Found,Not Found,https://saintjosephabbey.com/alumnigivingappeal
https://stkate.edu/,Not Found,Not Found,Not Found,https://stkate.edu/academics/research,Not Found,https://stkate.edu/alumni
https://www.acs350.org/,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error
https://www.ai.edu/,Not Found,Not Found,Not Found,Not Found,Not Found,https://www.ai.edu/alumni
https://www.albertus.edu/,Not Found,Not Found,Not Found,Not Found,Not Found,https://www.albertus.edu/alumni/
https://www.alvernia.edu/,Not Found,https://www.alvernia.edu/student-life/residence-life-dining/residence-halls,https://www.alvernia.edu/student-life/residence-life-dining/residence-halls,https://www.alvernia.edu/student-life/student-undergraduate-research-fellows-surf,Not Found,https://www.alvernia.edu/alumni
https://www.alverno.edu/,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error,Connection Error
https://www.annamaria.edu/,Not Found,Not Found,Not Found,Not Found,Not Found,https://www.annamaria.edu/academics/undergraduate-studies/
https://www.anselm.edu/,Not Found,https://www.anselm.edu/campus-life/housing-dining,https://www.anselm.edu/about/offices-centers-institutes/finance-administration/office-partnerships/initiative-housing-policy-and-practice,https://www.anselm.edu/about/offices-centers-institutes/centers-institutes/new-hampshire-institute-politics/academics/research-centers/center-study-religion-and-public-life,https://www.anselm.edu/about/offices-centers-institutes/academic-affairs/international-programs/study-abroad-programs,https://www.anselm.edu/about/information/alumni-friends
https://www.aquinas.edu/,Not Found,https://www.aquinas.edu/offices/campus-dining/index.html,https://www.aquinas.edu/student-life/residence-life/index.html,Not Found,https://www.aquinas.edu/offices/international-programs/index.html,https://www.aquinas.edu/alumni-friends.html
https://www.aquinascollege.edu/,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
https://www.assumption.edu/,https://www.assumption.edu/student-experience/student-success/mentor-collective-program,https://www.assumption.edu/campus-life/residential-life/housing-and-dining/student-housing,https://www.assumption.edu/campus-life/residential-life/housing-and-dining/student-housing,https://www.assumption.edu/admissions-financial-aid/undergraduate-admissions-and-financial-aid/scholarships-and-grants/organ-scholarship,https://www.assumption.edu/undergraduate-studies/study-abroad-opportunities,https://www.assumption.edu/alumni
https://www.athenaeum.edu/,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
https://www.augustineinstitute.org/,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
https://www.avemaria.edu/,Not Found,Not Found,https://www.avemaria.edu/campus-life/residence-halls,Not Found,https://www.avemaria.edu/academics/study-abroad,Not Found
https://www.avemarialaw.edu/,Not Found,Not Found,https://www.avemarialaw.edu/admissions/campus-housing/,https://www.avemarialaw.edu/legal-analysiswriting-and-research/,https://www.avemarialaw.edu/study-abroad-in-rome-italy/,https://www.avemarialaw.edu/alumni/
https://www.avila.edu/,Not Found,Not Found,https://www.avila.edu/avila-life/student-experience/residence-halls/,Not Found,Not Found,https://www.avila.edu/alumni/give/
https://www.barry.edu/,Not Found,https://www.barry.edu/en/dining-services/,https://www.barry.edu/en/housing-and-residence-life/,Not Found,Not Found,https://www.barry.edu/en/alumni/
https://www.bc.edu/,Not Found,https://www.bc.edu/content/bc-web/campus-life/housing-and-dining.html,https://www.bc.edu/content/bc-web/campus-life/housing-and-dining.html,https://www.bc.edu/content/bc-web/research.html,Not Found,https://www.bc.edu/content/bc-web/offices/alumni/giving/17x001.html
